country,Export,Import,Trade Balance
PERU,8366.460000000001,14893.92,-6527.459999999999
PHILIPPINES,17236.95,6396.61,10840.34
PITCAIRN IS.,0.5800000000000001,0.39,0.19000000000000006
POLAND,15570.93,8632.460000000001,6938.469999999999
PORTUGAL,8366.55,2238.65,6127.9
PUERTO RICO,1469.78,483.96,985.8199999999999
QATAR,13053.06,132350.55,-119297.48999999999
REUNION,555.61,253.06,302.55
ROMANIA,4354.93,3747.69,607.2400000000002
RUSSIA,26935.69,67738.85,-40803.16
RWANDA,1210.33,34.699999999999996,1175.6299999999999
SAHARWI A.DM RP,0.24,0.0,0.24
SAMOA,29.71,17.24,12.470000000000002
SAN MARINO,1.58,3.0,-1.42
SAO TOME,14.43,0.28,14.15
SAUDI ARAB,86847.66,318699.57,-231851.91
SENEGAL,6695.45,4022.35,2673.1
SERBIA,562.6899999999999,151.83,410.8599999999999
SEYCHELLES,548.03,36.84,511.18999999999994
SIERRA LEONE,1342.34,161.72,1180.62
SINGAPORE,130427.76,122056.32,8371.439999999988
SINT MAARTEN (DUTCH PART),0.19,0.0,0.19
SLOVAK REP,1549.22,907.27,641.95
SLOVENIA,3440.76,1963.22,1477.5400000000002
SOLOMON IS,25.39,403.0,-377.61
SOMALIA,4845.72,203.78,4641.9400000000005
SOUTH AFRICA,53278.11,90209.29,-36931.17999999999
SOUTH SUDAN ,87.07,237.07999999999998,-150.01
SPAIN,41209.77,21096.57,20113.199999999997
SRI LANKA DSR,54616.88,9349.8,45267.08
ST HELENA,1.17,0.64,0.5299999999999999
ST KITT N A,20.92,3.61,17.310000000000002
ST LUCIA,34.76,4.5600000000000005,30.199999999999996
ST PIERRE,0.13999999999999999,0.03,0.10999999999999999
ST VINCENT,8.63,12.19,-3.5599999999999987
STATE OF PALEST,6.52,2.38,4.14
SUDAN,10176.01,4660.98,5515.030000000001
SURINAME,223.11,635.18,-412.06999999999994
SVALLBARD AND J,0.0,0.0,0.0
SWAZILAND,440.45,764.13,-323.68
SWEDEN,9115.9,17674.579999999998,-8558.679999999998
SWITZERLAND,13802.34,265251.74,-251449.4
SYRIA,2665.55,558.17,2107.38
TAIWAN,27285.31,50136.69,-22851.38
TAJIKISTAN,383.67,148.39000000000001,235.28
TANZANIA REP,23365.62,11176.56,12189.06
THAILAND,44638.74,73417.83,-28779.090000000004
TIMOR LESTE,633.02,25.36,607.66
TOGO,9541.66,2663.41,6878.25
TOKELAU IS,15.23,0.97,14.26
TONGA,11.799999999999999,0.43,11.37
TRINIDAD,1099.43,1256.29,-156.8599999999999
TUNISIA,3370.2,2050.33,1319.87
TURKEY,56998.92,18185.21,38813.71
TURKMENISTAN,729.93,194.04,535.89
TURKS C IS,4.82,0.39,4.430000000000001
TUVALU,0.64,1.5699999999999998,-0.9299999999999998
U ARAB EMTS,362951.83,357998.58,4953.25
U K,107298.44,69796.94,37501.5
U S A,541487.45,327297.77,214189.67999999993
UGANDA,6441.92,538.7,5903.22
UKRAINE,5032.03,26626.739999999998,-21594.71
UNION OF SERBIA & MONTENEGRO,174.44,42.36,132.07999999999998
UNSPECIFIED,66839.8,44504.04,22335.760000000002
URUGUAY,1821.97,595.25,1226.72
US MINOR OUTLYING ISLANDS               ,4.82,3.66,1.1600000000000001
UZBEKISTAN,1827.66,650.17,1177.4900000000002
VANUATU REP,29.18,6.0200000000000005,23.16
VATICAN CITY,0.48,0.6900000000000001,-0.21000000000000008
VENEZUELA,2782.31,82864.34999999999,-80082.04
VIETNAM SOC REP,65171.06,49633.29,15537.769999999997
VIRGIN IS US,230.75,18.310000000000002,212.44
WALLIS F IS,0.43,1.36,-0.9300000000000002
YEMEN REPUBLC,9524.07,5446.8,4077.2699999999995
ZAMBIA,3320.77,4964.95,-1644.1799999999998
ZIMBABWE,1973.39,276.22,1697.17
